,id,category_id,brand_id,width,height,depth,weight,monthly_demand,replenishment_interval,price,unit_margin,blocking_field,min_facing,max_facing,max_stack,up_down_order_criteria,block_order_criteria,sku_order_criteria_1,sku_order_criteria_2,sku_order_criteria_3,sku_order_criteria_4
0,104658,136,355,145.4699896528,182.2938312251,75.490693635,7.4351776271,37,30,11.315789,6.837426,355,1,5,3,7.4351776271,0,0,0,0,0
1,106194,137,355,114.6527372561,229.0201899578,135.2123202114,9.2104461429,14,30,32.368421,22.097112,355,1,5,3,9.2104461429,0,0,0,0,0
2,100515,132,683,63.4172567013,212.9989545739,89.6906486602,6.9958870635,12,30,12.016129,9.408492,683,1,5,3,6.9958870635,0,0,0,0,0
3,100516,132,683,64.4720552634,287.7823754007,140.150140864,5.5297863165,12,30,12.02,10.069536,683,1,5,3,5.5297863165,0,0,0,0,0
4,100517,132,683,77.5459463827,280.0116438311,127.8816432565,8.468181992,7,30,12.016129,10.141016,683,1,5,3,8.468181992,0,0,0,0,0
5,100519,132,683,86.5471897827,117.4602973732,103.7968709412,7.4093550118,5,30,12.018064,10.146638,683,1,5,3,7.4093550118,0,0,0,0,0
6,100520,132,683,127.5216298843,285.4149551098,131.4901647958,5.029826661,11,30,12.016129,10.107368,683,1,5,3,5.029826661,0,0,0,0,0
7,100521,132,683,108.0757164934,186.8833623555,137.5291472146,10.4269636379,9,30,12.018064,9.976636,683,1,5,3,10.4269636379,0,0,0,0,0
8,100522,132,683,121.2342987827,223.7034377366,74.0935501178,6.9453724793,8,30,12.018064,10.065093,683,1,5,3,6.9453724793,0,0,0,0,0
9,100523,132,683,122.5199303748,118.9148754122,111.6670581805,9.1823674832,13,30,12.016129,10.007836,683,1,5,3,9.1823674832,0,0,0,0,0
10,100532,137,436,86.8775914866,139.8022706685,87.2935765012,5.5297863165,6,30,12.19,0,436,1,5,3,5.5297863165,0,0,0,0,0
11,100718,134,986,51.7797478334,130.4292565687,124.7506080301,11.8247691395,9,30,7.98,5.327559,986,1,5,3,11.8247691395,0,0,0,0,0
12,101076,137,248,140.150140864,110.5957263297,111.4746894577,11.1527595608,6,30,9.560702,6.139468,248,1,5,3,11.1527595608,0,0,0,0,0
13,101078,137,248,100.597666695,160.3736186039,148.237707476,8.0780675473,5,30,11.315789,7.298667,248,1,5,3,8.0780675473,0,0,0,0,0
14,101080,137,248,149.5544959868,264.3813736583,69.4537247933,14.2360832882,4,30,10.438596,6.015734,248,1,5,3,14.2360832882,0,0,0,0,0
15,101082,137,355,62.4407566053,233.078298727,148.237707476,8.0780675473,33,30,7.81,5.439434,355,1,5,3,8.0780675473,0,0,0,0,0
16,101083,137,355,93.1219552903,135.2135286234,107.190284995,12.5662887935,59,30,12.19,9.120131,355,1,5,3,12.5662887935,0,0,0,0,0
17,101141,131,628,94.244583319,244.9765220595,107.5716208136,12.8330532504,5,30,15.24,12.649357,628,1,5,3,12.8330532504,0,0,0,0,0
18,101142,131,628,80.5788896457,199.5914633362,57.2626348349,5.1176992292,5,30,16.05,13.184585,628,1,5,3,5.1176992292,0,0,0,0,0
19,101146,135,628,135.4289438174,156.0751859085,74.0103030066,5.9533490048,10,30,7.981936,6.229255,628,1,5,3,5.9533490048,0,0,0,0,0
20,101147,135,628,81.7064064825,216.2304265009,131.4891536553,5.7479375687,36,30,5.56,4.171178,628,1,5,3,5.7479375687,0,0,0,0,0
21,101151,131,628,129.7337587637,167.2385717399,56.8926189004,11.1039815617,13,30,3.951613,3.07013,628,1,5,3,11.1039815617,0,0,0,0,0
