,module,id,level,total_width,total_height,total_length,product_min_unit_weight,product_max_unit_weight
0,KL5_test,1557210474245,1,1800,450,400,0,40
1,KL5_test,1557210474245,2,1800,350,400,0,40
2,KL5_test,1557210474245,3,1800,250,400,0,40
3,KL5_test,1557210474245,4,1800,200,400,0,40
4,KL5_test,1557210474245,5,1800,200,400,0,40
5,KL5_test,1557210562555,1,1800,450,400,0,40
6,KL5_test,1557210562555,2,1800,350,400,0,40
7,KL5_test,1557210562555,3,1800,250,400,0,40
8,KL5_test,1557210562555,4,1800,200,400,0,40
9,KL5_test,1557210562555,5,1800,200,400,0,40
10,KL7_test,1557210595018,1,1800,350,400,0,40
11,KL7_test,1557210595018,2,1800,300,400,0,40
12,KL7_test,1557210595018,3,1800,300,400,0,50
13,KL7_test,1557210595018,4,1800,300,400,0,40
14,KL7_test,1557210595018,5,1800,200,400,0,30
15,KL7_test,1557210688307,1,1800,350,400,0,40
16,KL7_test,1557210688307,2,1800,300,400,0,40
17,KL7_test,1557210688307,3,1800,300,400,0,50
18,KL7_test,1557210688307,4,1800,300,400,0,40
19,KL7_test,1557210688307,5,1800,200,400,0,30
